run,coarseCode,fineCode,coarse_code,fine_code,iout,vdsat_masterbias_mnbias,vdsat_masterbias_mnbiasdio,vdsat_masterbias_mnbiascascdio,vdsat_masterbias_mnbiascasc,vdsat_masterbias_mpbias,vdsat_masterbias_mpbiasdio,vdsat_masterbias_mnmirr1,vdsat_masterbias_mnmirr2,vdsat_masterbias_mnmirrcasc2,vdsat_masterbias_mnmirrcasc2,vdsat_coarsebuf_mmirr,vdsat_coarse2fine_mpdio,vdsat_coarse2fine_mpmirr,vdsat_buffs_mndio,vdsat_buffs_mnmirr,vdsat_buffs_mnmirrbuffbias,vdsat_buffs_mnmirrbuff,vdsat_buffs_mpdio,vdsat_buffs_mpmirrbuffbias,vdsat_buffs_mpmirrbuff,vdsat_biasbuffer_mndio,vdsat_biasbuffer_mnmirr,vdsat_biasbuffer_mnpdio,id_masterbias_mnbias,id_masterbias_mnbiasdio,id_masterbias_xmnmirr1,id_masterbias_xmnmirr2,id_mbdiv_cb0,id_mbdiv_cb1,id_mbdiv_cb2,id_mbdiv_cb3,id_mbdiv_cb4,id_mbdiv_cb5,id_mbdiv_cb6,id_mbdiv_cb7,id_coarsebuf_mmirr,id_coarse2fine_mpdio,id_coarse2fine_mpmirr,id_coarse2fine_mpindio,id_buffs_mndio,id_buffs_mnmirr,id_buffs_mnmirrbuffbias,id_buffs_mnmirrbuff,id_buffs_mpdio,id_buffs_mpmirrbuffbias,id_buffs_mpmirrbuff,id_biasbuffer_mndio,id_biasbuffer_mnmirr
run_000,0.0,0.0,1.000,0.000,1.144e-11,3.645e-02,3.645e-02,5.131e-02,4.834e-02,0.000,0.000,3.645e-02,3.645e-02,"[5.062e-02, 5.062e-02]","[5.062e-02, 5.062e-02]",0.000,0.000,0.000,3.830e-02,3.830e-02,3.677e-02,4.552e-02,4.046e-02,4.118e-02,4.562e-02,3.677e-02,3.677e-02,4.118e-02,7.625e-08,7.632e-08,6.361e-09,6.363e-09,3.754e-07,4.898e-08,6.404e-09,8.284e-10,1.045e-10,1.162e-11,8.790e-13,5.979e-14,0.000,0.000,0.000,3.743e-07,9.197e-12,9.310e-12,2.227e-08,4.552e-02,7.760e-12,2.971e-08,4.562e-02,2.286e-08,2.871e-08
run_001,1.0,0.0,1.000,0.000,1.486e-11,3.645e-02,3.645e-02,5.131e-02,4.834e-02,0.000,0.000,3.645e-02,3.645e-02,"[5.062e-02, 5.062e-02]","[5.062e-02, 5.062e-02]",0.000,0.000,0.000,3.830e-02,3.830e-02,3.677e-02,4.383e-02,4.046e-02,4.118e-02,4.385e-02,3.677e-02,3.677e-02,4.118e-02,7.625e-08,7.632e-08,6.361e-09,6.363e-09,3.754e-07,4.898e-08,6.404e-09,8.284e-10,1.045e-10,1.162e-11,8.790e-13,5.979e-14,0.000,0.000,0.000,5.521e-08,1.049e-11,1.133e-11,2.231e-08,4.383e-02,1.108e-11,2.976e-08,4.385e-02,2.286e-08,2.871e-08
run_002,2.0,0.0,1.000,0.000,1.486e-11,3.645e-02,3.645e-02,5.131e-02,4.834e-02,0.000,0.000,3.645e-02,3.645e-02,"[5.062e-02, 5.062e-02]","[5.062e-02, 5.062e-02]",0.000,0.000,0.000,3.830e-02,3.830e-02,3.677e-02,4.383e-02,4.046e-02,4.118e-02,4.385e-02,3.677e-02,3.677e-02,4.118e-02,7.625e-08,7.632e-08,6.361e-09,6.363e-09,3.754e-07,4.898e-08,6.404e-09,8.284e-10,1.045e-10,1.162e-11,8.790e-13,5.979e-14,0.000,0.000,0.000,6.539e-09,1.049e-11,1.133e-11,2.231e-08,4.383e-02,1.108e-11,2.976e-08,4.385e-02,2.286e-08,2.871e-08
run_003,3.0,0.0,1.000,0.000,1.486e-11,3.645e-02,3.645e-02,5.131e-02,4.834e-02,0.000,0.000,3.645e-02,3.645e-02,"[5.062e-02, 5.062e-02]","[5.062e-02, 5.062e-02]",0.000,0.000,0.000,3.830e-02,3.830e-02,3.677e-02,4.383e-02,4.046e-02,4.118e-02,4.385e-02,3.677e-02,3.677e-02,4.118e-02,7.625e-08,7.632e-08,6.361e-09,6.363e-09,3.754e-07,4.898e-08,6.404e-09,8.284e-10,1.045e-10,1.162e-11,8.790e-13,5.979e-14,0.000,0.000,0.000,8.374e-10,1.049e-11,1.133e-11,2.231e-08,4.383e-02,1.108e-11,2.976e-08,4.385e-02,2.286e-08,2.871e-08
run_004,4.0,0.0,1.000,0.000,1.486e-11,3.645e-02,3.645e-02,5.131e-02,4.834e-02,0.000,0.000,3.645e-02,3.645e-02,"[5.062e-02, 5.062e-02]","[5.062e-02, 5.062e-02]",0.000,0.000,0.000,3.830e-02,3.830e-02,3.677e-02,4.383e-02,4.046e-02,4.118e-02,4.385e-02,3.677e-02,3.677e-02,4.118e-02,7.625e-08,7.632e-08,6.361e-09,6.363e-09,3.754e-07,4.898e-08,6.404e-09,8.284e-10,1.030e-10,1.164e-11,8.917e-13,6.265e-14,0.000,0.000,0.000,8.748e-12,1.049e-11,1.133e-11,2.231e-08,4.383e-02,1.108e-11,2.976e-08,4.385e-02,2.286e-08,2.871e-08
run_005,5.0,0.0,1.000,0.000,1.486e-11,3.645e-02,3.645e-02,5.131e-02,4.834e-02,0.000,0.000,3.645e-02,3.645e-02,"[5.062e-02, 5.062e-02]","[5.062e-02, 5.062e-02]",0.000,0.000,0.000,3.830e-02,3.830e-02,3.677e-02,4.383e-02,4.046e-02,4.118e-02,4.385e-02,3.677e-02,3.677e-02,4.118e-02,7.625e-08,7.632e-08,6.361e-09,6.363e-09,3.754e-07,4.898e-08,6.404e-09,8.284e-10,1.045e-10,1.056e-11,8.884e-13,6.251e-14,0.000,0.000,0.000,8.748e-12,1.049e-11,1.133e-11,2.231e-08,4.383e-02,1.108e-11,2.976e-08,4.385e-02,2.286e-08,2.871e-08
run_006,6.0,0.0,1.000,0.000,1.486e-11,3.645e-02,3.645e-02,5.131e-02,4.834e-02,0.000,0.000,3.645e-02,3.645e-02,"[5.062e-02, 5.062e-02]","[5.062e-02, 5.062e-02]",0.000,0.000,0.000,3.830e-02,3.830e-02,3.677e-02,4.383e-02,4.046e-02,4.118e-02,4.385e-02,3.677e-02,3.677e-02,4.118e-02,7.625e-08,7.632e-08,6.361e-09,6.363e-09,3.754e-07,4.898e-08,6.404e-09,8.284e-10,1.045e-10,1.160e-11,4.397e-13,5.549e-14,0.000,0.000,0.000,1.185e-11,1.049e-11,1.133e-11,2.231e-08,4.383e-02,1.108e-11,2.976e-08,4.385e-02,2.286e-08,2.872e-08
run_007,7.0,0.0,1.000,0.000,1.486e-11,3.645e-02,3.645e-02,5.131e-02,4.834e-02,0.000,0.000,3.645e-02,3.645e-02,"[5.062e-02, 5.062e-02]","[5.062e-02, 5.062e-02]",0.000,0.000,0.000,3.830e-02,3.830e-02,3.677e-02,4.383e-02,4.046e-02,4.118e-02,4.385e-02,3.677e-02,3.677e-02,4.118e-02,7.625e-08,7.632e-08,6.361e-09,6.363e-09,3.754e-07,4.898e-08,6.404e-09,8.284e-10,1.045e-10,1.163e-11,8.676e-13,3.496e-14,0.000,0.000,0.000,1.144e-11,1.049e-11,1.133e-11,2.231e-08,4.383e-02,1.108e-11,2.976e-08,4.385e-02,2.286e-08,2.872e-08
run_008,0.0,20.0,1.000,20.000,2.575e-08,3.645e-02,3.645e-02,5.131e-02,4.834e-02,0.000,0.000,3.645e-02,3.645e-02,"[5.062e-02, 5.062e-02]","[5.062e-02, 5.062e-02]",0.000,0.000,0.000,4.151e-02,4.151e-02,3.677e-02,4.660e-02,4.313e-02,4.118e-02,4.636e-02,3.677e-02,3.677e-02,4.118e-02,7.625e-08,7.632e-08,6.361e-09,6.363e-09,3.754e-07,4.898e-08,6.404e-09,8.284e-10,1.045e-10,1.162e-11,8.790e-13,5.979e-14,0.000,0.000,0.000,3.743e-07,2.759e-08,2.567e-08,2.387e-08,4.660e-02,2.566e-08,3.114e-08,4.636e-02,2.286e-08,2.871e-08
run_009,1.0,20.0,1.000,20.000,3.909e-09,3.645e-02,3.645e-02,5.131e-02,4.834e-02,0.000,0.000,3.645e-02,3.645e-02,"[5.062e-02, 5.062e-02]","[5.062e-02, 5.062e-02]",0.000,0.000,0.000,3.878e-02,3.878e-02,3.677e-02,4.490e-02,4.088e-02,4.118e-02,4.465e-02,3.677e-02,3.677e-02,4.118e-02,7.625e-08,7.632e-08,6.361e-09,6.363e-09,3.754e-07,4.898e-08,6.404e-09,8.284e-10,1.045e-10,1.162e-11,8.790e-13,5.979e-14,0.000,0.000,0.000,5.521e-08,3.801e-09,3.864e-09,2.349e-08,4.490e-02,3.863e-09,3.072e-08,4.465e-02,2.286e-08,2.871e-08
run_010,2.0,20.0,1.000,20.000,4.714e-10,3.645e-02,3.645e-02,5.131e-02,4.834e-02,0.000,0.000,3.645e-02,3.645e-02,"[5.062e-02, 5.062e-02]","[5.062e-02, 5.062e-02]",0.000,0.000,0.000,3.836e-02,3.836e-02,3.677e-02,4.453e-02,4.051e-02,4.118e-02,4.434e-02,3.677e-02,3.677e-02,4.118e-02,7.625e-08,7.632e-08,6.361e-09,6.363e-09,3.754e-07,4.898e-08,6.404e-09,8.284e-10,1.045e-10,1.162e-11,8.790e-13,5.979e-14,0.000,0.000,0.000,6.539e-09,4.446e-10,4.627e-10,2.309e-08,4.453e-02,4.620e-10,3.033e-08,4.434e-02,2.286e-08,2.871e-08
run_011,3.0,20.0,1.000,20.000,8.191e-11,3.645e-02,3.645e-02,5.131e-02,4.834e-02,0.000,0.000,3.645e-02,3.645e-02,"[5.062e-02, 5.062e-02]","[5.062e-02, 5.062e-02]",0.000,0.000,0.000,3.831e-02,3.831e-02,3.677e-02,4.420e-02,4.046e-02,4.118e-02,4.410e-02,3.677e-02,3.677e-02,4.118e-02,7.625e-08,7.632e-08,6.361e-09,6.363e-09,3.754e-07,4.898e-08,6.404e-09,8.284e-10,1.045e-10,1.162e-11,8.790e-13,5.979e-14,0.000,0.000,0.000,8.374e-10,7.331e-11,7.771e-11,2.274e-08,4.420e-02,7.722e-11,3.005e-08,4.410e-02,2.286e-08,2.871e-08
run_012,4.0,20.0,1.000,20.000,2.653e-11,3.645e-02,3.645e-02,5.131e-02,4.834e-02,0.000,0.000,3.645e-02,3.645e-02,"[5.062e-02, 5.062e-02]","[5.062e-02, 5.062e-02]",0.000,0.000,0.000,3.830e-02,3.830e-02,3.677e-02,4.397e-02,4.046e-02,4.118e-02,4.394e-02,3.677e-02,3.677e-02,4.118e-02,7.625e-08,7.632e-08,6.361e-09,6.363e-09,3.754e-07,4.898e-08,6.404e-09,8.284e-10,1.030e-10,1.164e-11,8.917e-13,6.265e-14,0.000,0.000,0.000,8.748e-12,2.137e-11,2.292e-11,2.248e-08,4.397e-02,2.258e-11,2.987e-08,4.394e-02,2.286e-08,2.871e-08
run_013,5.0,20.0,1.000,20.000,2.653e-11,3.645e-02,3.645e-02,5.131e-02,4.834e-02,0.000,0.000,3.645e-02,3.645e-02,"[5.062e-02, 5.062e-02]","[5.062e-02, 5.062e-02]",0.000,0.000,0.000,3.830e-02,3.830e-02,3.677e-02,4.397e-02,4.046e-02,4.118e-02,4.394e-02,3.677e-02,3.677e-02,4.118e-02,7.625e-08,7.632e-08,6.361e-09,6.363e-09,3.754e-07,4.898e-08,6.404e-09,8.284e-10,1.045e-10,1.056e-11,8.885e-13,6.251e-14,0.000,0.000,0.000,8.748e-12,2.137e-11,2.293e-11,2.248e-08,4.397e-02,2.259e-11,2.987e-08,4.394e-02,2.286e-08,2.871e-08
run_014,6.0,20.0,1.000,20.000,2.681e-11,3.645e-02,3.645e-02,5.131e-02,4.834e-02,0.000,0.000,3.645e-02,3.645e-02,"[5.062e-02, 5.062e-02]","[5.062e-02, 5.062e-02]",0.000,0.000,0.000,3.830e-02,3.830e-02,3.677e-02,4.397e-02,4.046e-02,4.118e-02,4.395e-02,3.677e-02,3.677e-02,4.118e-02,7.625e-08,7.632e-08,6.361e-09,6.363e-09,3.754e-07,4.898e-08,6.404e-09,8.284e-10,1.045e-10,1.160e-11,4.396e-13,5.549e-14,0.000,0.000,0.000,1.185e-11,2.163e-11,2.320e-11,2.249e-08,4.397e-02,2.286e-11,2.987e-08,4.395e-02,2.286e-08,2.872e-08
run_015,7.0,20.0,1.000,20.000,2.677e-11,3.645e-02,3.645e-02,5.131e-02,4.834e-02,0.000,0.000,3.645e-02,3.645e-02,"[5.062e-02, 5.062e-02]","[5.062e-02, 5.062e-02]",0.000,0.000,0.000,3.830e-02,3.830e-02,3.677e-02,4.397e-02,4.046e-02,4.118e-02,4.395e-02,3.677e-02,3.677e-02,4.118e-02,7.625e-08,7.632e-08,6.361e-09,6.363e-09,3.754e-07,4.898e-08,6.404e-09,8.284e-10,1.045e-10,1.163e-11,8.676e-13,3.496e-14,0.000,0.000,0.000,1.144e-11,2.160e-11,2.317e-11,2.249e-08,4.397e-02,2.283e-11,2.987e-08,4.395e-02,2.286e-08,2.872e-08
